task_id,length,deadline,vm_id,thread,start_time,finish_time,exec_time,cost
332,1554,1690,2,0,3.09500,4.50083,1.40583,0.03885
334,474,1040,2,0,4.61083,5.11583,0.50500,0.01185
335,429,1035,2,0,5.22583,5.69333,0.46750,0.01072
336,1934,2631,2,0,5.80333,7.42750,1.62417,0.04835
337,1847,2411,2,0,7.53750,9.18833,1.65083,0.04617
339,933,1529,2,0,9.29833,10.18583,0.88750,0.02333
342,409,623,0,0,0.98750,1.24313,0.25563,0.01789
346,358,1074,2,1,0.98750,1.35313,0.36563,0.00651
345,757,927,1,0,0.98750,1.57312,0.58563,0.02704
340,1341,1690,2,0,0.98750,2.21500,1.22750,0.03353
341,701,1027,2,0,2.32500,2.91000,0.58500,0.01753
343,770,1507,2,0,3.02000,3.77167,0.75167,0.01925
344,1050,1840,2,0,3.88167,4.75667,0.87500,0.02625
347,1178,1549,2,0,4.86667,5.86917,1.00250,0.02945
348,977,1755,2,0,5.97917,6.81167,0.83250,0.02443
349,1865,2539,2,0,6.92167,8.55167,1.63000,0.04663
350,428,646,0,0,1.73000,1.99750,0.26750,0.01873
351,702,1369,2,0,1.73000,2.42500,0.69500,0.01755
352,623,1199,2,0,2.53500,3.05417,0.51917,0.01557
353,1302,2166,2,0,3.16417,4.27417,1.11000,0.03255
354,846,1596,2,0,4.38417,5.08917,0.70500,0.02115
355,509,1406,2,0,5.19917,5.62333,0.42417,0.01273
356,1111,1673,2,0,5.73333,6.66583,0.93250,0.02777
357,1638,2447,2,0,6.77583,8.25167,1.47583,0.04095
358,784,1290,2,0,8.36167,9.01500,0.65333,0.01960
359,675,1365,2,0,9.12500,9.79750,0.67250,0.01688
363,339,980,1,1,0.77250,1.03327,0.26077,0.01043
360,454,709,0,0,0.77250,1.14327,0.37077,0.01986
365,483,743,2,0,0.77250,1.25327,0.48077,0.01208
361,1674,2179,2,0,1.36327,2.75833,1.39506,0.04185
362,1658,2408,2,0,2.86833,4.36000,1.49167,0.04145
364,1070,2019,2,0,4.47000,5.47250,1.00250,0.02675
366,1262,1564,2,0,5.58250,6.69333,1.11083,0.03155
367,821,1742,2,0,6.80333,7.48833,0.68500,0.02053
368,738,1476,2,0,7.59833,8.21333,0.61500,0.01845
369,993,1768,2,0,8.32333,9.26167,0.93833,0.02483
372,295,1005,2,1,1.03833,1.30651,0.26818,0.00536
376,823,978,0,0,1.03833,1.66270,0.62438,0.03601
378,846,947,1,0,1.03833,1.66270,0.62438,0.03021
370,1585,2052,2,0,1.03833,2.46916,1.43083,0.03963
371,1935,2314,2,0,2.57916,4.19333,1.61417,0.04838
373,1044,1888,2,0,4.30333,5.17333,0.87000,0.02610
374,674,1104,2,0,5.28333,5.95583,0.67250,0.01685
375,1961,2347,2,0,6.06583,7.70000,1.63417,0.04903
377,1997,2882,2,0,7.81000,9.58500,1.77500,0.04993
379,1331,1447,2,0,9.69500,10.91500,1.22000,0.03328
388,124,1105,2,1,1.32000,1.43273,0.11273,0.00225
389,399,937,0,1,1.32000,1.65273,0.33273,0.01596
380,1543,1944,2,0,1.32000,2.71583,1.39583,0.03858
381,1026,1749,2,0,2.82583,3.68167,0.85583,0.02565
382,1194,1419,2,0,3.79167,4.78667,0.99500,0.02985
383,1585,2352,2,0,4.89667,6.21833,1.32167,0.03963
384,483,1012,2,0,6.32833,6.73250,0.40417,0.01208
385,1661,1801,2,0,6.84250,8.33750,1.49500,0.04153
386,943,1395,2,0,8.44750,9.34417,0.89667,0.02358
387,1320,1857,2,0,9.45417,10.56417,1.11000,0.03300
396,452,810,0,0,1.21000,1.59357,0.38357,0.01977
398,537,907,1,0,1.21000,1.70357,0.49357,0.01918
390,943,1615,2,0,1.21000,2.10583,0.89583,0.02358
391,846,1443,2,0,2.21583,2.92500,0.70917,0.02115
392,665,1534,2,0,3.03500,3.58917,0.55417,0.01663
393,451,1218,2,0,3.69917,4.07500,0.37583,0.01128
394,1575,2012,2,0,4.18500,5.53250,1.34750,0.03938
395,861,1210,2,0,5.64250,6.47083,0.82833,0.02153
397,1194,1929,2,0,6.58083,7.57667,0.99583,0.02985
399,639,1009,2,0,7.68667,8.32917,0.64250,0.01598
409,461,730,0,0,0.74250,1.03063,0.28813,0.02017
403,372,1256,2,1,0.74250,1.14063,0.39813,0.00676
408,235,1161,2,1,1.25062,1.56167,0.31104,0.00427
400,1578,1888,2,0,0.74250,2.14167,1.39917,0.03945
401,729,1305,2,0,2.25167,2.96917,0.71750,0.01823
402,1480,2032,2,0,3.07917,4.31333,1.23417,0.03700
404,976,1387,2,0,4.42333,5.34750,0.92417,0.02440
405,1569,1730,2,0,5.45750,6.76667,1.30917,0.03923
406,1660,2644,2,0,6.87667,8.26083,1.38417,0.04150
407,1690,2669,2,0,8.37083,9.89083,1.52000,0.04225
417,334,580,2,1,1.62000,1.92364,0.30364,0.00607
414,511,865,1,0,1.62000,2.03364,0.41364,0.01825
412,671,906,0,0,1.62000,2.14364,0.52364,0.02936
418,379,568,2,1,2.03364,2.49000,0.45636,0.00689
410,1374,1566,2,0,1.62000,2.82000,1.20000,0.03435
411,1273,1402,2,0,2.93000,4.04083,1.11083,0.03183
413,1476,1870,2,0,4.15083,5.38083,1.23000,0.03690
415,1539,2322,2,0,5.49083,6.88417,1.39333,0.03847
416,1434,2031,2,0,6.99417,8.19083,1.19667,0.03585
419,830,1610,2,0,8.30083,9.10250,0.80167,0.02075
428,122,969,1,1,0.90167,1.10552,0.20385,0.00375
425,439,650,0,0,0.90167,1.21552,0.31385,0.01921
420,1178,1390,2,0,0.90167,1.99334,1.09167,0.02945
421,871,1329,2,0,2.10334,2.83000,0.72667,0.02178
422,1613,1769,2,0,2.94000,4.39417,1.45417,0.04033
423,738,1393,2,0,4.50417,5.11917,0.61500,0.01845
424,580,1503,2,0,5.22917,5.82250,0.59333,0.01450
426,1697,2375,2,0,5.93250,7.34750,1.41500,0.04243
427,1509,2373,2,0,7.45750,8.71667,1.25917,0.03773
429,707,1275,2,0,8.82667,9.50084,0.67417,0.01767
437,379,908,1,1,0.77417,1.06571,0.29154,0.01166
431,523,876,0,0,0.77417,1.17571,0.40154,0.02288
430,1128,2033,2,0,0.77417,1.82417,1.05000,0.02820
432,1549,1775,2,0,1.93417,3.33500,1.40083,0.03872
433,654,1027,2,0,3.44500,4.10000,0.65500,0.01635
434,1472,2034,2,0,4.21000,5.54667,1.33667,0.03680
435,896,1120,2,0,5.65667,6.40334,0.74667,0.02240
436,421,1304,2,0,6.51334,6.97417,0.46083,0.01053
438,844,1297,2,0,7.08417,7.78834,0.70417,0.02110
439,585,1284,2,0,7.89834,8.49667,0.59833,0.01462
446,348,1283,2,1,0.69833,1.01469,0.31636,0.00633
444,583,992,0,0,0.69833,1.12469,0.42636,0.02551
440,414,1239,2,0,0.69833,1.12469,0.42636,0.01035
441,1360,1979,2,0,1.23469,2.47833,1.24364,0.03400
442,1838,2574,2,0,2.58833,4.12166,1.53333,0.04595
443,1922,2632,2,0,4.23166,5.83333,1.60167,0.04805
445,523,1438,2,0,5.94333,6.37916,0.43583,0.01308
447,1075,1257,2,0,6.48916,7.49416,1.00500,0.02688
448,919,1292,2,0,7.60416,8.47416,0.87000,0.02298
449,1756,2237,2,0,8.58416,10.15833,1.57417,0.04390
450,590,760,0,0,1.67417,2.04292,0.36875,0.02581
451,899,1216,2,0,1.67417,2.53334,0.85917,0.02248
452,1702,2598,2,0,2.64334,4.10250,1.45917,0.04255
453,852,1730,2,0,4.21250,4.92334,0.71083,0.02130
454,1235,1956,2,0,5.03334,6.14334,1.11000,0.03087
455,477,1284,2,0,6.25334,6.76084,0.50750,0.01193
456,916,1452,2,0,6.87084,7.63500,0.76417,0.02290
457,597,1020,2,0,7.74500,8.24334,0.49833,0.01492
458,1470,1649,2,0,8.35334,9.57917,1.22583,0.03675
459,812,1190,2,0,9.68917,10.47667,0.78750,0.02030
462,228,894,1,1,0.88750,1.06288,0.17538,0.00702
460,335,984,0,1,0.88750,1.17288,0.28538,0.01340
466,285,609,2,1,0.88750,1.17288,0.28538,0.00518
461,116,1040,2,1,1.28288,1.39288,0.11000,0.00211
463,816,1110,2,0,0.88750,1.61288,0.72538,0.02040
464,1449,2085,2,0,1.72288,3.04167,1.31878,0.03623
465,1931,2748,2,0,3.15167,4.76083,1.60917,0.04828
467,881,1208,2,0,4.87083,5.63167,0.76083,0.02203
468,984,1674,2,0,5.74167,6.56167,0.82000,0.02460
469,1826,2365,2,0,6.67167,8.19500,1.52333,0.04565
470,1347,1673,2,0,1.62333,2.74583,1.12250,0.03368
471,573,1347,2,0,2.85583,3.44416,0.58833,0.01433
472,601,1073,2,0,3.55416,4.13416,0.58000,0.01503
473,650,1128,2,0,4.24416,4.89583,0.65167,0.01625
474,708,1678,2,0,5.00583,5.70666,0.70083,0.01770
475,884,1706,2,0,5.81666,6.66333,0.84667,0.02210
476,1639,2069,2,0,6.77333,8.14000,1.36667,0.04098
477,739,1729,2,0,8.25000,8.86583,0.61583,0.01848
478,1821,2281,2,0,8.97583,10.60416,1.62833,0.04553
479,1092,1636,2,0,10.71416,11.62416,0.91000,0.02730
484,105,901,1,1,1.01000,1.09077,0.08077,0.00323
482,636,859,0,0,1.01000,1.51750,0.50750,0.02783
480,1453,2230,2,0,1.01000,2.33083,1.32083,0.03633
481,419,1286,2,0,2.44083,2.90000,0.45917,0.01048
483,955,1117,2,0,3.01000,3.81583,0.80583,0.02387
485,818,1259,2,0,3.92583,4.70167,0.77583,0.02045
486,997,1675,2,0,4.81167,5.64250,0.83083,0.02493
487,833,1149,2,0,5.75250,6.44667,0.69417,0.02083
488,439,1418,2,0,6.55667,6.92250,0.36583,0.01098
489,982,1377,2,0,7.03250,7.96167,0.92917,0.02455
493,198,1019,2,1,1.02917,1.20917,0.18000,0.00360
491,505,967,0,0,1.02917,1.42917,0.40000,0.02209
498,683,828,1,0,1.02917,1.53917,0.51000,0.02439
490,837,1511,2,0,1.02917,1.75917,0.73000,0.02093
492,963,1100,2,0,1.86917,2.67167,0.80250,0.02408
494,848,1663,2,0,2.78167,3.59834,0.81667,0.02120
495,1332,2227,2,0,3.70834,4.81917,1.11083,0.03330
496,740,1641,2,0,4.92917,5.54584,0.61667,0.01850
497,671,1573,2,0,5.65584,6.21500,0.55917,0.01678
499,744,1528,2,0,6.32500,7.05584,0.73083,0.01860
500,788,1232,2,0,0.83083,1.48750,0.65667,0.01970
501,875,1558,2,0,1.59750,2.32666,0.72917,0.02188
502,1418,1637,2,0,2.43666,3.72833,1.29167,0.03545
503,1783,2450,2,0,3.83833,5.32666,1.48833,0.04458
504,833,1646,2,0,5.43666,6.13083,0.69417,0.02083
505,818,1379,2,0,6.24083,7.03333,0.79250,0.02045
506,1966,2559,2,0,7.14333,8.78250,1.63917,0.04915
507,892,1210,2,0,8.89250,9.63583,0.74333,0.02230
508,1407,1789,2,0,9.74583,11.01333,1.26750,0.03518
509,1700,2094,2,0,11.12333,12.54000,1.41667,0.04250
516,385,709,0,1,1.51667,1.84590,0.32923,0.01540
518,285,976,1,1,1.51667,1.84590,0.32923,0.00877
510,914,1618,2,0,1.51667,2.38834,0.87167,0.02285
511,1140,1883,2,0,2.49834,3.47667,0.97833,0.02850
512,1260,1830,2,0,3.58667,4.69750,1.11083,0.03150
513,1843,2408,2,0,4.80750,6.45334,1.64583,0.04608
514,552,1210,2,0,6.56334,7.13417,0.57083,0.01380
515,812,1625,2,0,7.24417,7.92084,0.67667,0.02030
517,1873,2643,2,0,8.03084,9.70250,1.67167,0.04683
519,1741,2531,2,0,9.81250,11.26334,1.45083,0.04353
520,959,1878,2,0,1.55083,2.35000,0.79917,0.02398
521,935,1358,2,0,2.46000,3.34000,0.88000,0.02338
522,1724,2272,2,0,3.45000,4.99750,1.54750,0.04310
523,440,1174,2,0,5.10750,5.58416,0.47667,0.01100
524,910,1650,2,0,5.69416,6.45333,0.75917,0.02275
525,1249,1795,2,0,6.56333,7.71166,1.14833,0.03122
526,536,1456,2,0,7.82166,8.26833,0.44667,0.01340
527,1093,1871,2,0,8.37833,9.28916,0.91083,0.02733
528,1601,2007,2,0,9.39916,10.84416,1.44500,0.04003
529,615,1449,2,0,10.95416,11.46750,0.51333,0.01537
530,1614,2033,2,0,0.61333,1.95833,1.34500,0.04035
531,1224,1975,2,0,2.06833,3.17916,1.11083,0.03060
532,1038,1196,2,0,3.28916,4.15500,0.86583,0.02595
533,1311,1915,2,0,4.26500,5.37500,1.11000,0.03278
534,946,1073,2,0,5.48500,6.38333,0.89833,0.02365
535,581,1103,2,0,6.49333,6.97750,0.48417,0.01453
536,792,1602,2,0,7.08750,7.85750,0.77000,0.01980
537,1424,1803,2,0,7.96750,9.15583,1.18833,0.03560
538,469,1260,2,0,9.26583,9.76666,0.50083,0.01173
539,875,1658,2,0,9.87666,10.71583,0.83917,0.02188
543,235,477,0,1,0.93917,1.09584,0.15667,0.00940
540,898,1156,2,0,0.93917,1.79750,0.85833,0.02245
541,1977,2401,2,0,1.90750,3.59667,1.68917,0.04943
542,1425,1704,2,0,3.70667,5.00417,1.29750,0.03563
544,1220,1760,2,0,5.11417,6.22500,1.11083,0.03050
545,522,1382,2,0,6.33500,6.88000,0.54500,0.01305
546,792,1087,2,0,6.99000,7.76084,0.77083,0.01980
547,1621,2173,2,0,7.87084,9.30000,1.42917,0.04053
548,455,1244,2,0,9.41000,9.89917,0.48917,0.01138
549,569,1529,2,0,10.00917,10.59334,0.58417,0.01423
550,564,1001,2,0,0.68417,1.15417,0.47000,0.01410
551,861,1414,2,0,1.26417,2.09250,0.82833,0.02153
552,1487,2046,2,0,2.20250,3.44250,1.24000,0.03718
553,1192,1621,2,0,3.55250,4.57834,1.02583,0.02980
554,850,1029,2,0,4.68834,5.40250,0.71417,0.02125
555,841,1303,2,0,5.51250,6.21334,0.70083,0.02103
556,850,1052,2,0,6.32334,7.14167,0.81833,0.02125
557,686,1396,2,0,7.25167,7.93334,0.68167,0.01715
558,1610,1796,2,0,8.04334,9.38584,1.34250,0.04025
559,1796,2266,2,0,9.49584,11.10334,1.60750,0.04490
564,182,834,0,1,1.70750,1.93883,0.23133,0.00728
560,1842,2595,2,0,1.70750,3.35250,1.64500,0.04605
561,1232,2096,2,0,3.46250,4.57333,1.11083,0.03080
562,1359,1465,2,0,4.68333,5.85000,1.16667,0.03398
563,1608,2227,2,0,5.96000,7.41083,1.45083,0.04020
565,1156,2034,2,0,7.52083,8.57083,1.05000,0.02890
566,964,1212,2,0,8.68083,9.52083,0.84000,0.02410
567,704,1684,2,0,9.63083,10.30417,0.67333,0.01760
568,517,1194,2,0,10.41417,10.84500,0.43083,0.01293
569,1033,1839,2,0,10.95500,11.81583,0.86083,0.02583
575,452,646,1,0,0.96083,1.28369,0.32286,0.01614
573,633,961,0,0,0.96083,1.39369,0.43286,0.02769
570,1376,2033,2,0,0.96083,2.21750,1.25667,0.03440
571,1177,1893,2,0,2.32750,3.41916,1.09167,0.02943
572,879,1684,2,0,3.52916,4.26250,0.73333,0.02198
574,1110,1712,2,0,4.37250,5.29750,0.92500,0.02775
576,1243,1945,2,0,5.40750,6.51750,1.11000,0.03108
577,1101,2013,2,0,6.62750,7.54583,0.91833,0.02752
578,1471,2422,2,0,7.65583,8.99250,1.33667,0.03677
579,1890,2228,2,0,9.10250,10.67750,1.57500,0.04725
586,156,412,1,1,1.67500,1.79500,0.12000,0.00480
589,371,471,2,1,1.67500,2.12227,0.44727,0.00675
581,721,879,0,0,1.67500,2.23227,0.55727,0.03154
580,671,1176,2,0,1.67500,2.34227,0.66727,0.01678
582,451,1121,2,0,2.45227,2.93811,0.48583,0.01128
583,824,1568,2,0,3.04811,3.84500,0.79689,0.02060
584,965,1482,2,0,3.95500,4.86917,0.91417,0.02413
585,649,1216,2,0,4.97917,5.52000,0.54083,0.01623
587,803,1509,2,0,5.63000,6.35417,0.72417,0.02008
588,727,1380,2,0,6.46417,7.18000,0.71583,0.01818
593,374,1242,2,1,0.81583,1.15583,0.34000,0.00680
590,680,826,0,0,0.81583,1.26583,0.45000,0.02975
591,667,976,1,0,0.81583,1.37583,0.56000,0.02382
592,890,1441,2,0,0.81583,1.59583,0.78000,0.02225
594,1688,2554,2,0,1.70583,3.22333,1.51750,0.04220
595,884,1810,2,0,3.33333,4.07000,0.73667,0.02210
596,1239,1821,2,0,4.18000,5.29083,1.11083,0.03098
597,714,1423,2,0,5.40083,6.10583,0.70500,0.01785
598,1850,2118,2,0,6.21583,7.75833,1.54250,0.04625
599,1726,2481,2,0,7.86833,9.41750,1.54917,0.04315
609,163,650,1,1,1.64917,1.88455,0.23538,0.00502
608,691,952,0,0,1.64917,2.10455,0.45538,0.03023
600,1937,2775,2,0,1.64917,3.32500,1.67583,0.04843
601,721,1500,2,0,3.43500,4.03584,0.60083,0.01803
602,707,1326,2,0,4.14584,4.73500,0.58917,0.01767
603,685,1470,2,0,4.84500,5.41667,0.57167,0.01712
604,552,1109,2,0,5.52667,5.98667,0.46000,0.01380
605,1760,2604,2,0,6.09667,7.56417,1.46750,0.04400
606,821,1631,2,0,7.67417,8.35917,0.68500,0.02053
607,1002,1385,2,0,8.46917,9.30417,0.83500,0.02505
619,250,795,1,1,0.93500,1.12731,0.19231,0.00769
610,460,794,0,0,0.93500,1.23731,0.30231,0.02012
611,721,1267,2,0,0.93500,1.64583,0.71083,0.01803
612,618,1241,2,0,1.75583,2.27083,0.51500,0.01545
613,683,1567,2,0,2.38083,2.95000,0.56917,0.01708
614,1479,1656,2,0,3.06000,4.40333,1.34333,0.03697
615,1308,1877,2,0,4.51333,5.62333,1.11000,0.03270
616,592,1222,2,0,5.73333,6.33667,0.60333,0.01480
617,1129,1510,2,0,6.44667,7.49833,1.05167,0.02822
618,790,1285,2,0,7.60833,8.37667,0.76833,0.01975
626,248,429,0,1,0.86833,1.14366,0.27533,0.00992
628,442,897,1,0,0.86833,1.25366,0.38533,0.01579
620,1242,1732,2,0,0.86833,2.01333,1.14500,0.03105
621,1963,2831,2,0,2.12333,3.76000,1.63667,0.04907
622,662,1547,2,0,3.87000,4.43000,0.56000,0.01655
623,1851,2038,2,0,4.54000,6.19333,1.65333,0.04628
624,1353,1893,2,0,6.30333,7.43166,1.12833,0.03382
625,1591,2210,2,0,7.54166,8.86916,1.32750,0.03978
627,866,1295,2,0,8.97916,9.70083,0.72167,0.02165
629,1970,2702,2,0,9.81083,11.52000,1.70917,0.04925
634,151,640,1,1,1.80917,2.03532,0.22615,0.00465
632,316,1026,2,1,1.80917,2.14532,0.33615,0.00575
630,556,900,0,0,1.80917,2.25532,0.44615,0.02432
638,135,281,1,1,2.14532,2.25532,0.11000,0.00415
637,642,912,2,0,1.80917,2.36532,0.55615,0.01605
631,1787,2451,2,0,2.47532,3.96584,1.49051,0.04468
633,833,1353,2,0,4.07584,4.77000,0.69417,0.02083
635,1159,1420,2,0,4.88000,5.84667,0.96667,0.02897
636,1047,1479,2,0,5.95667,6.93917,0.98250,0.02618
639,888,1502,2,0,7.04917,7.79000,0.74083,0.02220
649,225,492,1,1,0.84083,1.01391,0.17308,0.00692
643,236,1123,2,1,0.84083,1.12391,0.28308,0.00429
646,589,885,0,0,0.84083,1.23391,0.39308,0.02577
644,387,1038,2,1,1.23391,1.69663,0.46273,0.00704
640,1068,1261,2,0,0.84083,1.80663,0.96580,0.02670
641,1661,1937,2,0,1.91663,3.41083,1.49420,0.04153
642,732,1018,2,0,3.52083,4.24083,0.72000,0.01830
645,840,1744,2,0,4.35083,5.05166,0.70083,0.02100
647,1296,1731,2,0,5.16166,6.27166,1.11000,0.03240
648,1654,2365,2,0,6.38166,7.87166,1.49000,0.04135
650,699,1513,2,0,1.59000,2.17250,0.58250,0.01748
651,872,1158,2,0,2.28250,3.11917,0.83667,0.02180
652,1464,1913,2,0,3.22917,4.45000,1.22083,0.03660
653,522,1205,2,0,4.56000,5.03500,0.47500,0.01305
654,835,1698,2,0,5.14500,5.84167,0.69667,0.02087
655,1646,2056,2,0,5.95167,7.32417,1.37250,0.04115
656,455,1121,2,0,7.43417,7.92333,0.48917,0.01138
657,724,1597,2,0,8.03333,8.74667,0.71333,0.01810
658,1684,2609,2,0,8.85667,10.37083,1.51417,0.04210
659,877,1402,2,0,10.48083,11.32167,0.84083,0.02193
668,101,940,1,1,0.94083,1.01852,0.07769,0.00311
662,482,723,0,0,0.94083,1.35208,0.41125,0.02109
660,1802,2789,2,0,0.94083,2.55250,1.61167,0.04505
661,1420,1882,2,0,2.66250,3.95750,1.29500,0.03550
663,1809,2313,2,0,4.06750,5.68500,1.61750,0.04523
664,520,1283,2,0,5.79500,6.22833,0.43333,0.01300
665,1427,1823,2,0,6.33833,7.52916,1.19083,0.03568
